rank,id,name,author,author_alias,attribution_link,city_code,country,population,population_count,points_count,n_cells,mean_point_density,median_resident_weighted_nn_km,mean_resident_weighted_nn_km,median_worker_weighted_nn_km,mean_worker_weighted_nn_km,detail_radius_km,detail_score,playable_area_cells,median_cell_resident_density,mean_cell_resident_density,pct_cells_with_residents,median_cell_worker_density,mean_cell_worker_density,pct_cells_with_workers,median_commute_distance,mean_commute_distance,detected_center_count,polycentrism_score
62,connecticut-usa,Connecticut,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,CT,US,1483718,99514,6597,5330,1.24,0.634,0.768,0.483,0.572,0.553,0.41,13392,159,285.37,97.54,96,308.15,90.32,32089,40651.05,4,0.98
63,ulsan-4,Ulsan (40km×40km),kimth9,kimth9,https://github.com/kimth9,USN4,KR,1460625,21551,612,275,2.09,0.407,0.453,0.407,0.456,0.407,0.65,600,1574,5394.92,96.73,5800,12786.19,100,6339,7857.89,1,0.66
64,puerto-rico,Puerto Rico,rslurry,slurry,https://github.com/rslurry,PR,PR,1434290,30194,8273,5276,1.57,0.41,0.495,0.414,0.513,0.412,0.77,9111,126,326.49,83.26,112,298.05,91.21,9855,16009.16,1,0.48
65,orange-county,Orange County,rslurry,slurry,https://github.com/rslurry,OC,US,1429155,137792,2735,1539,1.77,0.561,0.599,0.379,0.43,0.461,0.64,2048,701,957.78,96.95,342,968,95.84,19707,22056.51,2,0.52
66,cairo,Cairo,ryandicicco,ryandicicco,https://github.com/ryandicicco,CAI,EG,1422928,8405,5210,1288,4.04,0.527,0.792,0.37,0.937,0.442,0.12,2564,1334,2868.41,72.67,303,1432.25,28.34,26833,30949.23,2,0.78
67,yukina-kobe-akashi,神戸 (Kōbe),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,UKB,JP,1405864,21853,6601,1072,6.12,0.172,0.185,0.151,0.185,0.161,0.93,1200,601,1533.55,84.79,516,1450,89.83,6336,10335.76,3,0.5
68,ulsan-3,Ulsan (30km×30km),kimth9,kimth9,https://github.com/kimth9,USN3,KR,1401126,20231,507,218,2.17,0.407,0.443,0.407,0.432,0.407,0.63,516,2070,6270.95,99.08,5936,14515.22,100,6294,7670.45,1,0.61
69,ciudad-juarez-el-paso,Ciudad Juárez-El Paso,rslurry,slurry,https://github.com/rslurry,CJS,MX,1364798,40921,2833,1117,2.53,0.336,0.417,0.325,0.381,0.33,0.75,2180,809,1366.16,89.44,485,1321.66,92.12,14278,17353.19,2,0.72
70,yukina-hiroshima-kure,広島 (Hiroshima),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,HIJ,JP,1334069,20616,6623,1599,4.14,0.191,0.21,0.166,0.195,0.178,0.98,2345,293,995.4,83.8,258,1008.24,82.74,6273,10692.7,1,0.41
71,mfn-lasvegas,Las Vegas,crumpetime,muffintime,https://github.com/crumpetime,LAS,US,1296870,79319,2373,1265,1.87,0.472,0.496,0.318,0.34,0.387,0.75,1600,825,1148.69,89.25,281,1132.64,90.51,18717,19878.97,1,0.45
